dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,1.782496,8.803740,1.046909,2.507925,3.013384,0.035559,0.002624
0.005000,1.795111,8.803773,1.059524,2.522992,3.013567,0.036450,0.002664
0.005000,1.807801,8.803807,1.072215,2.538061,3.013749,0.036497,0.002704
0.005000,1.820567,8.803842,1.084980,2.553131,3.013925,0.035094,0.002745
0.005000,1.833408,8.803878,1.097821,2.568201,3.014107,0.036401,0.002787
0.005000,1.846324,8.803914,1.110738,2.583273,3.014296,0.037924,0.002829
0.005000,1.859316,8.803951,1.123729,2.598345,3.014479,0.036482,0.002871
0.005000,1.872383,8.803989,1.136797,2.613418,3.014659,0.036164,0.002914
0.005000,1.885525,8.804027,1.149939,2.628493,3.014850,0.038203,0.002957
0.005000,1.898743,8.804067,1.163157,2.643568,3.015041,0.038122,0.003001
0.005000,1.912036,8.804107,1.176450,2.658644,3.015222,0.036141,0.003045
0.005000,1.925405,8.804148,1.189819,2.673721,3.015419,0.039382,0.003090
0.005000,1.938849,8.804190,1.203263,2.688799,3.015608,0.037963,0.003135
0.005000,1.952368,8.804232,1.216782,2.703878,3.015794,0.037019,0.003180
0.005000,1.965963,8.804276,1.230377,2.718958,3.016001,0.041460,0.003226
0.005000,1.979633,8.804320,1.244047,2.734039,3.016181,0.036004,0.003273
0.005000,1.993378,8.804366,1.257793,2.749121,3.016384,0.040709,0.003320
0.005000,2.007199,8.804412,1.271614,2.764204,3.016578,0.038703,0.003368
0.005000,2.021096,8.804459,1.285510,2.779288,3.016774,0.039253,0.003416
0.005000,2.035067,8.804507,1.299482,2.794373,3.016977,0.040600,0.003464
0.005000,2.049115,8.804556,1.313529,2.809458,3.017170,0.038600,0.003514
0.005000,2.063237,8.804606,1.327652,2.824545,3.017379,0.041696,0.003563
0.005000,2.077435,8.804657,1.341850,2.839633,3.017572,0.038747,0.003613
0.005000,2.091709,8.804709,1.356124,2.854722,3.017782,0.041993,0.003664
0.005000,2.106058,8.804762,1.370473,2.869812,3.017981,0.039691,0.003715
0.005000,2.120482,8.804816,1.384897,2.884903,3.018188,0.041495,0.003767
0.005000,2.134982,8.804871,1.399397,2.899995,3.018395,0.041427,0.003819
0.005000,2.149557,8.804927,1.413973,2.915088,3.018596,0.040208,0.003872
0.005000,2.164208,8.804984,1.428624,2.930182,3.018816,0.043949,0.003925
